query,numtasks,elapsedTime,duration,schedulerDelayTime,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,gettingResultTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,executorTimeRatio,cpuTimeRatio,ioTimeRatio,jvmGCRatio,shuffleFetchWaitTimeRatio,totalBytesRead,totalBytesWritten,diskBytesSpilledRatio,memoryBytesSpilledRatio,totalBytesIORatio,shuffleBytesIORatio,elapsedTime_minutes,peakExecutionMemory_GB,totalBytesRead_GB,totalBytesWritten_GB,shuffleTotalBytesRead_GB,shuffleBytesWritten_GB
q55,13297,46467,16748802,292857,14286187,941000,2168918,524457,840,716576,5,4928,0,123160,0,0,68040280,264472644,2125370401,100,2713,88251,22966,171,22795,4375294,33088,4342206,0,4375294,88251,0.8529676928534948,0.06586782043382185,0.9341321795661781,0.05015866024993233,3.4998841888321915e-07,2129745695,4378007,0.0,0.0,486.46466188838895,1.0,0.774,0.063,1.983,0.004,0.004,0.004
q56,15464,55499,20072840,320410,17774961,1337760,1976810,495838,659,1071215,4442,68555,0,163155,0,0,221510512,146232849,1328162423,100,2073,146981084,141607,1173,140434,1973819708,17396095,1956423613,0,1918111924,136032104,0.8855229753238705,0.07526092462312575,0.9247390753768743,0.060265392424771004,0.000249902095425132,3301982131,1918113997,0.0,0.0,1.7214733515132157,1.0290430309634007,0.925,0.206,3.075,1.786,1.838,1.786
q57,15608,64225,27240918,366614,24567966,3720260,2305350,549674,949,2821551,79774,202048,39,8129915,0,0,201523200,2085640286,13221527362,100,5354,30758432,551417,4294,547123,1263947824,9847539,1254100285,0,1243894129,30470048,0.9018773155882632,0.15142726915203317,0.8485727308479668,0.11484674799696483,0.0032470738521862166,14485475186,1243899483,0.0,0.0,11.645213607665758,1.0161217056439695,1.07,0.188,13.491,1.158,1.177,1.158
q58,15761,77729,41646109,309497,39104854,2545778,2231238,533786,491,1244835,32,892,29,2748732,0,0,403636224,14709783488,117411822622,0,1005,3785265,4219,41,4178,48433441,472192,47961249,0,62024810,4854119,0.9389797735966162,0.06510132987582565,0.9348986701241744,0.0318332603926868,8.18312734270789e-07,117460256063,62025815,0.0,0.0,1893.731764153361,0.7808720574879633,1.295,0.376,109.393,0.058,0.045,0.058
q59,12063,36868,13548384,260340,11620002,538610,1667524,386414,518,528705,0,0,0,4033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857667010323888,0.04635197136799116,0.9536480286320088,0.04549956187615114,0.0,0,0,,,,,0.614,0.0,0.0,0.0,0.0,0.0
q6,14765,86446,21089590,343090,18861623,1191902,1884515,471931,362,969090,1336,29355,0,19089,0,0,218431488,133193857,833434435,52,1134,245582077,101271,772,100499,2201092035,19538200,2181553835,0,2201092035,245582077,0.894357026381262,0.06319191089759349,0.9368080891024065,0.05137892958628216,7.083165642744529e-05,3034526470,2201093169,0.0,0.0,1.37864517174375,1.0,1.441,0.203,2.826,2.05,2.05,2.05
q60,16395,57512,21355533,346378,19007089,1551818,2001344,500593,722,1148947,133017,74277,0,572459,0,0,242813024,333740321,3131242529,100,1961,342343310,158600,1216,157384,4779734676,36907212,4742827464,0,4724026892,331394330,0.8900311221452539,0.0816441697095226,0.9183558302904774,0.06044834114261263,0.006998283640382807,7910977205,4724028853,0.0,0.0,1.6746250819310988,1.0117924358335766,0.959,0.226,7.368,4.4,4.451,4.4
q61,12063,35643,13443219,245724,11550358,539598,1646630,384866,507,494736,0,0,0,4033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8591958518268579,0.04671699353388008,0.95328300646612,0.04283295807800936,0.0,0,0,,,,,0.594,0.0,0.0,0.0,0.0,0.0
q62,12063,37414,14042790,255575,12138357,534606,1648273,382450,585,504416,0,0,0,4033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8643835733497404,0.0440426986947245,0.9559573013052755,0.04155554166020986,0.0,0,0,,,,,0.624,0.0,0.0,0.0,0.0,0.0
q63,13624,48828,18473649,318944,15949899,1185074,2203884,536520,922,834223,5,14485,0,163964,0,0,69063792,1659654255,11122731327,100,1784,78728,61161,447,60714,4370470,31751,4338719,0,4370470,78728,0.8633864917537407,0.07429978083246797,0.9257002191675321,0.05230271364100801,3.1348160888040735e-07,11127101797,4372254,0.0,0.0,2544.934900168197,1.0,0.814,0.064,10.363,0.004,0.004,0.004
