,App ID,App Name,query,AllSuccessful,aLogSuccess,AppSuccessful,FailureCounts,RunType,aQueryTime,elapsedTime,AppDurationSecs,stageDuration,numStages,numTasks,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,submissionTime,cpuTimeRatio,ioTimeRatio,jvmGCRatio,shuffleFetchWaitTimeRatio,totalBytesRead,totalBytesWritten,diskBytesSpilledRatio,memoryBytesSpilledRatio,totalBytesIORatio,shuffleBytesIORatio,elapsedTime_minutes,peakExecutionMemory_GB,totalBytesRead_GB,totalBytesWritten_GB,shuffleTotalBytesRead_GB,shuffleBytesWritten_GB
22,app-20201104190246-0197,TPC-DS Like Bench,q22,True,True,True,0,cpu,27209.0,121016,127.012,61489,38,12735,13670982,1291620,1725776,433090,356,817023,8852,18256,4571058,0,0,48820266496,206353071,1092247521,100,2940,207019771,50800,419,50381,2582555802,24684591,2557871211,0,2582555802,207019771,1604516570310,0.094,0.906,0.06,0.001,3674803323,2582558742,0.0,0.0,1.423,1.0,2.017,45.467,3.422,2.405,2.405,2.405
23,app-20201104190454-0198,TPC-DS Like Bench,q23a,False,False,True,0,cpu,,33241,38.455,21860,31,12063,9152655,544242,1679029,392870,633,487592,0,0,4571058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604516697303,0.059,0.941,0.053,0.0,0,0,,,,,0.554,0.0,0.0,0.0,0.0,0.0
24,app-20201104190534-0199,TPC-DS Like Bench,q23b,True,True,True,0,cpu,307378.0,339480,344.549,830704,57,21718,128030905,62594229,2135620,538703,1147,16422547,6187993,1122213,23195850,147143467137,552406614016,850448798976,23695607901,99829155686,100,2237,39137424169,1968689,15496,1953193,476617967742,3742840935,472875126807,0,180699300708,14264115130,1604516737444,0.489,0.511,0.128,0.048,576447123428,180699302945,0.255,0.958,3.19,2.638,5.658,792.042,536.858,168.289,443.885,168.289
25,app-20201104191120-0200,TPC-DS Like Bench,q24a,True,True,True,0,cpu,283322.0,316551,323.006,443703,48,16885,55491347,22625907,2045414,521200,879,3079438,549870,1298287,12558115,0,0,704907616000,9549638501,108100846171,8366,445653,18113255309,1227013,9539,1217474,482205891654,3761619415,478444272239,0,247304516370,9148998921,1604517083747,0.408,0.592,0.055,0.01,590306737825,247304962023,0.0,0.0,2.387,1.95,5.276,656.496,549.766,230.321,449.089,230.32
26,app-20201104191646-0201,TPC-DS Like Bench,q24b,True,True,True,0,cpu,271098.0,301950,307.974,426845,48,16885,54693913,22403868,2042243,521556,1021,3007619,958464,1330370,12558115,0,0,704907616000,9549638501,108100846171,933,249158,18109707493,1195816,9363,1186453,481957465913,3783179789,478174286124,0,247056090629,9145451105,1604517408665,0.41,0.59,0.055,0.018,590058312084,247056339787,0.0,0.0,2.388,1.951,5.032,656.496,549.535,230.089,448.858,230.089
27,app-20201104192155-0202,TPC-DS Like Bench,q25,True,True,True,0,cpu,20214.0,52316,56.686,54888,42,15579,14594301,1948761,2002963,507458,753,699758,287,43284,24488036,0,0,66065068800,605920698,6549610858,100,13364,605758111,151863,1187,150676,11868345976,91178734,11777167242,0,11868345976,605758111,1604517718260,0.134,0.866,0.048,0.0,18417956834,11868359340,0.0,0.0,1.552,1.0,0.872,61.528,17.153,11.053,11.053,11.053
28,app-20201104192254-0203,TPC-DS Like Bench,q26,True,True,True,0,cpu,14964.0,46769,51.093,38026,38,13437,13211385,1536009,2210439,538216,694,881444,788,27182,8270404,0,0,64673285120,862067712,11363723931,100,4465,11503861,116200,906,115294,364157467,2837307,361320160,0,364157467,11503861,1604517776640,0.116,0.884,0.067,0.0,11727881398,364161932,0.0,0.0,32.205,1.0,0.779,60.232,10.922,0.339,0.339,0.339
29,app-20201104192346-0204,TPC-DS Like Bench,q27,True,True,True,0,cpu,14808.0,47324,51.639,38092,38,13425,14088878,1367554,2238116,538750,1097,978551,69,19681,8288652,0,0,75485911328,1652596893,20335651082,100,3683,1686992,144391,1124,143267,72818437,569072,72249365,0,72818437,1686992,1604517829200,0.097,0.903,0.069,0.0,20408469519,72822120,0.0,0.0,280.251,1.0,0.789,70.302,19.007,0.068,0.068,0.068
30,app-20201104192439-0205,TPC-DS Like Bench,q28,True,True,True,0,cpu,77737.0,110172,114.306,435396,50,20332,77443817,7003180,2194353,542402,757,4604858,112191,131592,4571058,0,0,79027240960,51839466426,302385933186,1,4628,62584188,1408801,11228,1397573,1102568450,8827354,1093741096,0,1102568450,62584188,1604517882371,0.09,0.91,0.059,0.001,303488501636,1102573078,0.0,0.0,275.255,1.0,1.836,73.6,282.646,1.027,1.027,1.027
31,app-20201104192635-0206,TPC-DS Like Bench,q29,True,True,True,0,cpu,41188.0,73758,78.005,82056,43,15827,20055199,5265728,1975551,500958,863,1128208,36346,198619,24488079,0,0,254578923776,2803682452,18997334774,100,12447,2796879904,339838,2649,337189,45385550907,352791109,45032759798,0,45385550907,2796879904,1604517998264,0.263,0.737,0.056,0.002,64382885681,45385563354,0.0,0.0,1.419,1.0,1.229,237.095,59.961,42.269,42.269,42.269
